Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Odor Eliminator Bathroom Cleaner,Hertel,$2.99,$1.99,$1.00,0.3344
Old Fashion Brown Sugar,Lantic,$2.99,$1.99,$1.00,0.3344
Pomegranate Mango All Purpose Cleaner,Hertel,$2.99,$1.99,$1.00,0.3344
Regular BBQ Sauce,Kraft,$2.99,$1.99,$1.00,0.3344
Select Roasted Garlic Pesto Pasta Mix,Knorr,$2.99,$1.99,$1.00,0.3344
Select Rustic Mexican Rice & Beans,Knorr,$2.99,$1.99,$1.00,0.3344
Selects Asiago Cheese & Cracked Black Pepper Rice ...,Knorr,$2.99,$1.99,$1.00,0.3344
Selects Four Cheese Risotto,Knorr,$2.99,$1.99,$1.00,0.3344
Selects Garlic Alfredo Rice,Knorr,$2.99,$1.99,$1.00,0.3344
Selects White Cheddar Brocolli Rice Sidedish,Knorr,$2.99,$1.99,$1.00,0.3344
Selects with Spinach Florentine Gluten Free Pasta ...,Knorr,$2.99,$1.99,$1.00,0.3344
spray glass - biodegradable Cleaner,Hertel,$2.99,$1.99,$1.00,0.3344
Spray Odor Eliminator All Purpose Cleaner,Hertel,$2.99,$1.99,$1.00,0.3344
Sweet & Sour BBQ Sauce,Kraft,$2.99,$1.99,$1.00,0.3344
Vegetable Cocktail Juice,V8,$2.99,$1.99,$1.00,0.3344
Vegetable Cocktail Low Sodium Juice,V8,$2.99,$1.99,$1.00,0.3344
V-Go Vegetable Cocktail Juice,V8,$2.99,$1.99,$1.00,0.3344
Apple Organic Snack,GoGo Squeez,$4.49,$2.99,$1.50,0.3341
Mini Wheats Brown Sugar Cereal,Kellogg's,$5.99,$3.99,$2.00,0.3339
Mini Wheats Cocoa Cereal,Kellogg,$5.99,$3.99,$2.00,0.3339
Mini Wheats Maple Cereal,Kellogg's,$5.99,$3.99,$2.00,0.3339
Mini Wheats Raspberry Centres Cereal,Kellogg's,$5.99,$3.99,$2.00,0.3339
Mini Wheats Regular Cereal,Kellogg's,$5.99,$3.99,$2.00,0.3339
Rice Krispies Gluten Free Cereal,Kellogg's,$5.99,$3.99,$2.00,0.3339
Special K Apple Raspberry Almond Cereal,Kellogg's,$5.99,$3.99,$2.00,0.3339
2X Liquid Original 24 Use Laundry Detergent,Tide,$8.99,$5.99,$3.00,0.3337
Ultra Facial Tissues,Kleenex,$8.99,$5.99,$3.00,0.3337
White 100 Sheets Facial Tissues,Kleenex,$8.99,$5.99,$3.00,0.3337
Brownies MuffinMax Bars,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Granola Brownies,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Granola Caramel,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Granola Caramel Pretzel,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Granola Chocolate Chip,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Granola Cookie Dough,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Granola S'mores,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Indulgent Cookies and Cream Squares,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Indulget Chocolate Tango Square,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Indulget Coconut Square,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Nougat Caramel Almonds Bar,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Nougat Caramel Chocolate Bar,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Nougat Caramel Dark.Chocolate Granola Bar...,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Nougat Cream Cookie Bar,Leclerc,$2.99,$2.00,$0.99,0.3311
Chocomax Nougat Strawberry Sundae Bar,Leclerc,$2.99,$2.00,$0.99,0.3311
Muffin Max Dark Chocolate Chunk Bars,Leclerc,$2.99,$2.00,$0.99,0.3311
Muffin Max Date Bars,Leclerc,$2.99,$2.00,$0.99,0.3311
MuffinMax Banana Chocolate Bars,Leclerc,$2.99,$2.00,$0.99,0.3311
